"Benchmark Date",Tenor,"Publication Time",USD ICE LIBOR
"February 1, 2021","Overnight","11:55:06 AM",0.07925
"February 1, 2021","1 Week","11:55:06 AM",0.08313
"February 1, 2021","1 Month","11:55:06 AM",0.11300
"February 1, 2021","2 Month","11:55:06 AM",0.15225
"February 1, 2021","3 Month","11:55:06 AM",0.19550
"February 1, 2021","6 Month","11:55:06 AM",0.21500
"February 1, 2021","1 Year","11:55:06 AM",0.30550
"February 2, 2021","Overnight","11:55:06 AM",0.08113
"February 2, 2021","1 Week","11:55:06 AM",0.08500
"February 2, 2021","1 Month","11:55:06 AM",0.11525
"February 2, 2021","2 Month","11:55:06 AM",0.15538
"February 2, 2021","3 Month","11:55:06 AM",0.19225
"February 2, 2021","6 Month","11:55:06 AM",0.21713
"February 2, 2021","1 Year","11:55:06 AM",0.30413
"February 3, 2021","Overnight","11:55:05 AM",0.08288
"February 3, 2021","1 Week","11:55:05 AM",0.09500
"February 3, 2021","1 Month","11:55:05 AM",0.11325
"February 3, 2021","2 Month","11:55:05 AM",0.16063
"February 3, 2021","3 Month","11:55:05 AM",0.19513
"February 3, 2021","6 Month","11:55:05 AM",0.22375
"February 3, 2021","1 Year","11:55:05 AM",0.30600
"February 4, 2021","Overnight","11:55:05 AM",0.08300
"February 4, 2021","1 Week","11:55:05 AM",0.09563
"February 4, 2021","1 Month","11:55:05 AM",0.12350
"February 4, 2021","2 Month","11:55:05 AM",0.15650
"February 4, 2021","3 Month","11:55:05 AM",0.19263
"February 4, 2021","6 Month","11:55:05 AM",0.22250
"February 4, 2021","1 Year","11:55:05 AM",0.30600
"February 5, 2021","Overnight","11:55:05 AM",0.08288
"February 5, 2021","1 Week","11:55:05 AM",0.08913
"February 5, 2021","1 Month","11:55:05 AM",0.11888
"February 5, 2021","2 Month","11:55:05 AM",0.15563
"February 5, 2021","3 Month","11:55:05 AM",0.19088
"February 5, 2021","6 Month","11:55:05 AM",0.20700
"February 5, 2021","1 Year","11:55:05 AM",0.30413
"February 8, 2021","Overnight","11:55:06 AM",0.08125
"February 8, 2021","1 Week","11:55:06 AM",0.08163
"February 8, 2021","1 Month","11:55:06 AM",0.12050
"February 8, 2021","2 Month","11:55:06 AM",0.15588
"February 8, 2021","3 Month","11:55:06 AM",0.19538
"February 8, 2021","6 Month","11:55:06 AM",0.20750
"February 8, 2021","1 Year","11:55:06 AM",0.30638
"February 9, 2021","Overnight","11:55:05 AM",0.07988
"February 9, 2021","1 Week","11:55:05 AM",0.08538
"February 9, 2021","1 Month","11:55:05 AM",0.11588
"February 9, 2021","2 Month","11:55:05 AM",0.15650
"February 9, 2021","3 Month","11:55:05 AM",0.20250
"February 9, 2021","6 Month","11:55:05 AM",0.20800
"February 9, 2021","1 Year","11:55:05 AM",0.30563
"February 10, 2021","Overnight","11:55:05 AM",0.07988
"February 10, 2021","1 Week","11:55:05 AM",0.09050
"February 10, 2021","1 Month","11:55:05 AM",0.10950
"February 10, 2021","2 Month","11:55:05 AM",0.15363
"February 10, 2021","3 Month","11:55:05 AM",0.20088
"February 10, 2021","6 Month","11:55:05 AM",0.20800
"February 10, 2021","1 Year","11:55:05 AM",0.30513
"February 11, 2021","Overnight","11:55:05 AM",0.07975
"February 11, 2021","1 Week","11:55:05 AM",0.08663
"February 11, 2021","1 Month","11:55:05 AM",0.11225
"February 11, 2021","2 Month","11:55:05 AM",0.15188
"February 11, 2021","3 Month","11:55:05 AM",0.19763
"February 11, 2021","6 Month","11:55:05 AM",0.20838
"February 11, 2021","1 Year","11:55:05 AM",0.30363
"February 12, 2021","Overnight","11:55:05 AM",0.07963
"February 12, 2021","1 Week","11:55:05 AM",0.09125
"February 12, 2021","1 Month","11:55:05 AM",0.10738
"February 12, 2021","2 Month","11:55:05 AM",0.15075
"February 12, 2021","3 Month","11:55:05 AM",0.19375
"February 12, 2021","6 Month","11:55:05 AM",0.20075
"February 12, 2021","1 Year","11:55:05 AM",0.29975
"February 15, 2021","1 Week","11:55:06 AM",0.08975
"February 15, 2021","1 Month","11:55:06 AM",0.10575
"February 15, 2021","2 Month","11:55:06 AM",0.15088
"February 15, 2021","3 Month","11:55:06 AM",0.19150
"February 15, 2021","6 Month","11:55:06 AM",0.20488
"February 15, 2021","1 Year","11:55:06 AM",0.30050
"February 16, 2021","Overnight","11:55:05 AM",0.08150
"February 16, 2021","1 Week","11:55:05 AM",0.08638
"February 16, 2021","1 Month","11:55:05 AM",0.10825
"February 16, 2021","2 Month","11:55:05 AM",0.15375
