"Benchmark Date",Tenor,"Publication Time",USD ICE LIBOR
"January 4, 2021","Overnight","11:55:06 AM",0.08463
"January 4, 2021","1 Week","11:55:06 AM",0.09725
"January 4, 2021","1 Month","11:55:06 AM",0.13975
"January 4, 2021","2 Month","11:55:06 AM",0.19038
"January 4, 2021","3 Month","11:55:06 AM",0.23725
"January 4, 2021","6 Month","11:55:06 AM",0.25588
"January 4, 2021","1 Year","11:55:06 AM",0.34063
"January 5, 2021","Overnight","11:55:05 AM",0.08638
"January 5, 2021","1 Week","11:55:05 AM",0.10288
"January 5, 2021","1 Month","11:55:05 AM",0.13088
"January 5, 2021","2 Month","11:55:05 AM",0.18225
"January 5, 2021","3 Month","11:55:05 AM",0.23688
"January 5, 2021","6 Month","11:55:05 AM",0.25388
"January 5, 2021","1 Year","11:55:05 AM",0.32975
"January 6, 2021","Overnight","11:55:05 AM",0.08650
"January 6, 2021","1 Week","11:55:05 AM",0.10288
"January 6, 2021","1 Month","11:55:05 AM",0.13200
"January 6, 2021","2 Month","11:55:05 AM",0.18400
"January 6, 2021","3 Month","11:55:05 AM",0.23400
"January 6, 2021","6 Month","11:55:05 AM",0.25238
"January 6, 2021","1 Year","11:55:05 AM",0.33238
"January 7, 2021","Overnight","11:55:04 AM",0.08675
"January 7, 2021","1 Week","11:55:04 AM",0.10200
"January 7, 2021","1 Month","11:55:04 AM",0.13263
"January 7, 2021","2 Month","11:55:04 AM",0.17250
"January 7, 2021","3 Month","11:55:04 AM",0.22475
"January 7, 2021","6 Month","11:55:04 AM",0.25125
"January 7, 2021","1 Year","11:55:04 AM",0.32925
"January 8, 2021","Overnight","11:55:05 AM",0.08675
"January 8, 2021","1 Week","11:55:05 AM",0.10213
"January 8, 2021","1 Month","11:55:05 AM",0.12638
"January 8, 2021","2 Month","11:55:05 AM",0.16575
"January 8, 2021","3 Month","11:55:05 AM",0.22438
"January 8, 2021","6 Month","11:55:05 AM",0.24650
"January 8, 2021","1 Year","11:55:05 AM",0.32963
"January 11, 2021","Overnight","11:55:06 AM",0.08688
"January 11, 2021","1 Week","11:55:06 AM",0.09888
"January 11, 2021","1 Month","11:55:06 AM",0.12600
"January 11, 2021","2 Month","11:55:06 AM",0.17675
"January 11, 2021","3 Month","11:55:06 AM",0.22450
"January 11, 2021","6 Month","11:55:06 AM",0.25025
"January 11, 2021","1 Year","11:55:06 AM",0.32688
"January 12, 2021","Overnight","11:55:05 AM",0.08588
"January 12, 2021","1 Week","11:55:05 AM",0.10163
"January 12, 2021","1 Month","11:55:05 AM",0.12725
"January 12, 2021","2 Month","11:55:05 AM",0.18563
"January 12, 2021","3 Month","11:55:05 AM",0.23375
"January 12, 2021","6 Month","11:55:05 AM",0.24763
"January 12, 2021","1 Year","11:55:05 AM",0.32563
"January 13, 2021","Overnight","11:55:05 AM",0.08600
"January 13, 2021","1 Week","11:55:05 AM",0.09788
"January 13, 2021","1 Month","11:55:05 AM",0.12650
