"Benchmark Date",Tenor,"Publication Time",USD ICE LIBOR
"April 1, 2021","Overnight","11:55:06 AM",0.07475
"April 1, 2021","1 Week","11:55:06 AM",0.08488
"April 1, 2021","1 Month","11:55:06 AM",0.11038
"April 1, 2021","2 Month","11:55:06 AM",0.13525
"April 1, 2021","3 Month","11:55:06 AM",0.19975
"April 1, 2021","6 Month","11:55:06 AM",0.20125
"April 1, 2021","1 Year","11:55:06 AM",0.28050
"April 6, 2021","Overnight","11:55:06 AM",0.07788
"April 6, 2021","1 Week","11:55:06 AM",0.08613
"April 6, 2021","1 Month","11:55:06 AM",0.11013
"April 6, 2021","2 Month","11:55:06 AM",0.14413
"April 6, 2021","3 Month","11:55:06 AM",0.19738
"April 6, 2021","6 Month","11:55:06 AM",0.20100
"April 6, 2021","1 Year","11:55:06 AM",0.28625
"April 7, 2021","Overnight","11:55:05 AM",0.07625
"April 7, 2021","1 Week","11:55:05 AM",0.08588
"April 7, 2021","1 Month","11:55:05 AM",0.11250
"April 7, 2021","2 Month","11:55:05 AM",0.14563
"April 7, 2021","3 Month","11:55:05 AM",0.19363
"April 7, 2021","6 Month","11:55:05 AM",0.21000
"April 7, 2021","1 Year","11:55:05 AM",0.28525
"April 8, 2021","Overnight","11:55:06 AM",0.07488
"April 8, 2021","1 Week","11:55:06 AM",0.08525
"April 8, 2021","1 Month","11:55:06 AM",0.11050
"April 8, 2021","2 Month","11:55:06 AM",0.14775
"April 8, 2021","3 Month","11:55:06 AM",0.18775
"April 8, 2021","6 Month","11:55:06 AM",0.21075
"April 8, 2021","1 Year","11:55:06 AM",0.28675
"April 9, 2021","Overnight","11:55:06 AM",0.07475
"April 9, 2021","1 Week","11:55:06 AM",0.08663
"April 9, 2021","1 Month","11:55:06 AM",0.11125
"April 9, 2021","2 Month","11:55:06 AM",0.14650
"April 9, 2021","3 Month","11:55:06 AM",0.18750
"April 9, 2021","6 Month","11:55:06 AM",0.21138
"April 9, 2021","1 Year","11:55:06 AM",0.28575
"April 12, 2021","Overnight","11:55:06 AM",0.07350
"April 12, 2021","1 Week","11:55:06 AM",0.07888
"April 12, 2021","1 Month","11:55:06 AM",0.11225
"April 12, 2021","2 Month","11:55:06 AM",0.14288
"April 12, 2021","3 Month","11:55:06 AM",0.18575
"April 12, 2021","6 Month","11:55:06 AM",0.21463
"April 12, 2021","1 Year","11:55:06 AM",0.28438
"April 13, 2021","Overnight","11:55:05 AM",0.07475
"April 13, 2021","1 Week","11:55:05 AM",0.08225
"April 13, 2021","1 Month","11:55:05 AM",0.11463
"April 13, 2021","2 Month","11:55:05 AM",0.14238
"April 13, 2021","3 Month","11:55:05 AM",0.18375
"April 13, 2021","6 Month","11:55:05 AM",0.21950
"April 13, 2021","1 Year","11:55:05 AM",0.28775
"April 14, 2021","Overnight","11:55:05 AM",0.07363
"April 14, 2021","1 Week","11:55:05 AM",0.08675
"April 14, 2021","1 Month","11:55:05 AM",0.11563
"April 14, 2021","2 Month","11:55:05 AM",0.14888
"April 14, 2021","3 Month","11:55:05 AM",0.18363
"April 14, 2021","6 Month","11:55:05 AM",0.21938
"April 14, 2021","1 Year","11:55:05 AM",0.28675
"April 15, 2021","Overnight","11:55:05 AM",0.07325
"April 15, 2021","1 Week","11:55:05 AM",0.08388
"April 15, 2021","1 Month","11:55:05 AM",0.11500
"April 15, 2021","2 Month","11:55:05 AM",0.15000
"April 15, 2021","3 Month","11:55:05 AM",0.18975
"April 15, 2021","6 Month","11:55:05 AM",0.21763
"April 15, 2021","1 Year","11:55:05 AM",0.28775
"April 16, 2021","Overnight","11:55:05 AM",0.07275
"April 16, 2021","1 Week","11:55:05 AM",0.08788
"April 16, 2021","1 Month","11:55:05 AM",0.11588
"April 16, 2021","2 Month","11:55:05 AM",0.15150
"April 16, 2021","3 Month","11:55:05 AM",0.18825
"April 16, 2021","6 Month","11:55:05 AM",0.22363
"April 16, 2021","1 Year","11:55:05 AM",0.29238
"April 19, 2021","Overnight","11:55:06 AM",0.07275
"April 19, 2021","1 Week","11:55:06 AM",0.08113
"April 19, 2021","1 Month","11:55:06 AM",0.11375
"April 19, 2021","2 Month","11:55:06 AM",0.14788
"April 19, 2021","3 Month","11:55:06 AM",0.18600
"April 19, 2021","6 Month","11:55:06 AM",0.22175
"April 19, 2021","1 Year","11:55:06 AM",0.28675
"April 20, 2021","Overnight","11:55:05 AM",0.07288
"April 20, 2021","1 Week","11:55:05 AM",0.08538
"April 20, 2021","1 Month","11:55:05 AM",0.10750
"April 20, 2021","2 Month","11:55:05 AM",0.15238
"April 20, 2021","3 Month","11:55:05 AM",0.18375
"April 20, 2021","6 Month","11:55:05 AM",0.22263
"April 20, 2021","1 Year","11:55:05 AM",0.28700
"April 21, 2021","Overnight","11:55:05 AM",0.07213
"April 21, 2021","1 Week","11:55:05 AM",0.08475
"April 21, 2021","1 Month","11:55:05 AM",0.11025
"April 21, 2021","2 Month","11:55:05 AM",0.15300
"April 21, 2021","3 Month","11:55:05 AM",0.17288
"April 21, 2021","6 Month","11:55:05 AM",0.21650
"April 21, 2021","1 Year","11:55:05 AM",0.28225
"April 22, 2021","Overnight","11:55:05 AM",0.07338
"April 22, 2021","1 Week","11:55:05 AM",0.08738
"April 22, 2021","1 Month","11:55:05 AM",0.10613
"April 22, 2021","2 Month","11:55:05 AM",0.15013
"April 22, 2021","3 Month","11:55:05 AM",0.17575
"April 22, 2021","6 Month","11:55:05 AM",0.21063
"April 22, 2021","1 Year","11:55:05 AM",0.28075

